"Species","Length_cm","Speed_cms","Mode"
"Zebrasoma scopas",15.5697489161243,46.1056346923073,"Swimming"
"Naso lituratus",21.2897098900876,48.9981713807313,"Swimming"
"Naso lituratus",19.5625118605205,31.1290632658751,"Swimming"
"Ctenochaetus striatus",7.76571587570218,34.6557334469858,"Swimming"
"Chaetodon ornatissimus",14.2146075644437,2.97319950057498,"Eating"
"Chaetodon ornatissimus",10.3875072770444,16.6454788635547,"Eating"
"Chaetodon ornatissimus",11.6415291378845,12.8300631117161,"Swimming"
"Chaetodon pelewensis",7.54377373257198,27.0298629447626,"Swimming"
"Chaetodon pelewensis",8.21982226445152,19.9776647605033,"Swimming"
"Odonus niger",15.941227485058,45.542057134682,"Swimming"
"Odonus niger",17.5513733349351,77.0005055731111,"Swimming"
"Odonus niger",22.2418297634677,91.4099550573371,"Swimming"
"Odonus niger",13.5924027862507,29.8365309735382,"Swimming"
"Cephalopholis argus",22.3234191897129,29.7391913247893,"Swimming"
"Zebrasoma scopas",10.0219700838873,56.7193685752091,"Swimming"
"Odonus niger",13.8810733390268,28.4782317141804,"Swimming"
"Chromis iomelas",3.40279146542993,12.0702271103541,"Swimming"
"Zebrasoma scopas",14.536080486446,53.3872882067422,"Swimming"
"Chaetodon pelewensis",7.7928237227052,5.44718846822125,"Eating"
"Odonus niger",15.3961165163968,29.4561278460429,"Swimming"
"Chaetodon pelewensis",7.62528691971076,8.81762041477273,"Eating"
"Odonus niger",14.7188355557568,85.0902050419674,"Swimming"
"Chromis iomelas",4.74126115068601,6.34049676554204,"Swimming"
"Chromis iomelas",3.24894764300054,10.5229317732037,"Swimming"
"Chromis iomelas",4.2479937944745,8.91704418418292,"Swimming"
"Odonus niger",12.548191659287,41.5321102843189,"Swimming"
"Odonus niger",12.4627834176855,52.4708671119421,"Swimming"
"Chaetodon pelewensis",7.68764962618606,34.0977637897151,"Swimming"
"Odonus niger",12.2338616567668,49.664509724335,"Swimming"
"Chromis iomelas",4.70950349927651,10.8652958769803,"Swimming"
"Chromis iomelas",3.08454977458376,8.16116373750357,"Swimming"
"Chromis iomelas",3.57998285607601,19.9866043920248,"Swimming"
