"Family","Species","species","k_m","k_sd","Qc_m","Qc_sd","Qn_m","Qn_sd","Qp_m","Qp_sd","Dc_m","Dc_sd","Dn_m","Dn_sd","Dp_m","Dp_sd","diet_cat","alpha_m","alpha_sd","f0_m","f0_sd","theta_m","lwa_m","lwb_m","lwa_sd","lwb_sd","r_m","h_m","v_m","linf_m","F0nz_m","F0nz_sd","F0pz_m","F0pz_sd","ac_m","an_m","ap_m"
"Holocentridae","Neoniphon opercularis","Neoniphon_opercularis",0.249354393591064,0.0391630686625155,36.2647022964063,0.360693746184528,9.09675291357586,0.103944499967955,4.2325920068415,0.0954090773640827,28.7034725016532,2.1066477278703,5.24107613359509,0.711626739734545,0.990495118545872,0.163590929406183,7,0.69574946708983,0.0547290844146517,0.00446014094736455,0.000828088711670082,1.60769830156058,0.0198278568237178,2.94876887808204,0.005838078609567,0.0684687707145833,3.70011,3.55,27,35,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Holocentridae","Neoniphon opercularis","Neoniphon_opercularis",0.254807141229973,0.0402705820848598,36.2647022964063,0.360693746184528,9.09675291357586,0.103944499967955,4.2325920068415,0.0954090773640827,28.7034725016532,2.1066477278703,5.24107613359509,0.711626739734545,0.990495118545872,0.163590929406183,7,0.69574946708983,0.0547290844146517,0.00481098873722295,0.000828088711670082,1.60769830156058,0.0198278568237178,2.94876887808204,0.005838078609567,0.0684687707145833,3.70011,3.55,28,35,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Holocentridae","Neoniphon opercularis","Neoniphon_opercularis",0.260422004800001,0.0416972245805463,36.2647022964063,0.360693746184528,9.09675291357586,0.103944499967955,4.2325920068415,0.0954090773640827,28.7034725016532,2.1066477278703,5.24107613359509,0.711626739734545,0.990495118545872,0.163590929406183,7,0.69574946708983,0.0547290844146517,0.00518683483277562,0.000828088711670082,1.60769830156058,0.0198278568237178,2.94876887808204,0.005838078609567,0.0684687707145833,3.70011,3.55,29,35,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Holocentridae","Neoniphon opercularis","Neoniphon_opercularis",0.266204528480688,0.0434546328643454,36.2647022964063,0.360693746184528,9.09675291357586,0.103944499967955,4.2325920068415,0.0954090773640827,28.7034725016532,2.1066477278703,5.24107613359509,0.711626739734545,0.990495118545872,0.163590929406183,7,0.69574946708983,0.0547290844146517,0.00558926850157698,0.000828088711670082,1.60769830156058,0.0198278568237178,2.94876887808204,0.005838078609567,0.0684687707145833,3.70011,3.55,30,35,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Pteragogus cryptus","Pteragogus_cryptus",0.559817604678753,0.114237424515051,37.6394920051855,0.324329444718627,10.8673898916697,0.100853048299462,3.80924036516981,0.0875614887541927,37.0659418739826,3.01123801553792,7.09666989889236,0.889179934458638,0.851621912079797,0.197853355766676,8,0.795533872892107,0.0326652492240726,0.00106341299904287,0.000146535665759678,2.02715326091193,0.0166,2.95,0.0106071428571429,0.10204081632653,1.27882,3.5,22,9.5,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Pteragogus cryptus","Pteragogus_cryptus",0.596093241971876,0.11619710336231,37.6394920051855,0.324329444718627,10.8673898916697,0.100853048299462,3.80924036516981,0.0875614887541927,37.0659418739826,3.01123801553792,7.09666989889236,0.889179934458638,0.851621912079797,0.197853355766676,8,0.795533872892107,0.0326652492240726,0.0013428888065964,0.000146535665759678,2.02715326091193,0.0166,2.95,0.0106071428571429,0.10204081632653,1.27882,3.5,25,9.5,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Pteragogus cryptus","Pteragogus_cryptus",0.608895063773222,0.117807765286916,37.6394920051855,0.324329444718627,10.8673898916697,0.100853048299462,3.80924036516981,0.0875614887541927,37.0659418739826,3.01123801553792,7.09666989889236,0.889179934458638,0.851621912079797,0.197853355766676,8,0.795533872892107,0.0326652492240726,0.00144999914330855,0.000146535665759678,2.02715326091193,0.0166,2.95,0.0106071428571429,0.10204081632653,1.27882,3.5,26,9.5,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Pteragogus cryptus","Pteragogus_cryptus",0.622071775271871,0.119975984229893,37.6394920051855,0.324329444718627,10.8673898916697,0.100853048299462,3.80924036516981,0.0875614887541927,37.0659418739826,3.01123801553792,7.09666989889236,0.889179934458638,0.851621912079797,0.197853355766676,8,0.795533872892107,0.0326652492240726,0.00156485234076935,0.000146535665759678,2.02715326091193,0.0166,2.95,0.0106071428571429,0.10204081632653,1.27882,3.5,27,9.5,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Pteragogus cryptus","Pteragogus_cryptus",0.635636002970282,0.122745074173429,37.6394920051855,0.324329444718627,10.8673898916697,0.100853048299462,3.80924036516981,0.0875614887541927,37.0659418739826,3.01123801553792,7.09666989889236,0.889179934458638,0.851621912079797,0.197853355766676,8,0.795533872892107,0.0326652492240726,0.00168794822309524,0.000146535665759678,2.02715326091193,0.0166,2.95,0.0106071428571429,0.10204081632653,1.27882,3.5,28,9.5,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Pteragogus cryptus","Pteragogus_cryptus",0.649600849620615,0.126154258814317,37.6394920051855,0.324329444718627,10.8673898916697,0.100853048299462,3.80924036516981,0.0875614887541927,37.0659418739826,3.01123801553792,7.09666989889236,0.889179934458638,0.851621912079797,0.197853355766676,8,0.795533872892107,0.0326652492240726,0.00181981482761189,0.000146535665759678,2.02715326091193,0.0166,2.95,0.0106071428571429,0.10204081632653,1.27882,3.5,29,9.5,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Stethojulis balteata","Stethojulis_balteata",0.623042245483358,0.175673881987607,37.2927097234246,0.393765321881493,10.8558360049,0.113038227381001,3.84399546166816,0.107812908764951,44.0134270062186,4.44120327728324,8.77882875337412,1.36090175596106,1.02794034472899,0.308620258516277,8,0.795533872892107,0.0326652492240726,0.0013428888065964,0.000146535665759678,2.02715326091193,0.01,3.06,0.00618877551020408,0.0918367346938776,1.58025,3.32000002861023,25,15,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
